start_date,city,#trips
2019-12-14,Chicago,3511
2019-12-14,NYC,30263
2019-12-14,San Francisco,3830
2019-12-15,Chicago,2645
2019-12-15,NYC,33886
2019-12-15,San Francisco,3755
2019-12-16,Chicago,5765
2019-12-16,NYC,41717
2019-12-16,San Francisco,7425
2019-12-17,Chicago,5973
2019-12-17,NYC,19303
2019-12-17,San Francisco,7250
2019-12-18,Chicago,4762
2019-12-18,NYC,37898
2019-12-18,San Francisco,4941
2019-12-19,Chicago,5691
2019-12-19,NYC,29451
2019-12-19,San Francisco,7039
2019-12-20,Chicago,5778
2019-12-20,NYC,34209
2019-12-20,San Francisco,6692
2019-12-21,Chicago,3851
2019-12-21,NYC,24247
2019-12-21,San Francisco,3543
2019-12-22,Chicago,3953
2019-12-22,NYC,23726
2019-12-22,San Francisco,2307
2019-12-23,Chicago,5540
2019-12-23,NYC,37364
2019-12-23,San Francisco,4270
2019-12-24,Chicago,3062
2019-12-24,NYC,25894
2019-12-24,San Francisco,2617
2019-12-25,Chicago,2420
2019-12-25,NYC,13082
2019-12-25,San Francisco,1396
2019-12-26,Chicago,5801
2019-12-26,NYC,25226
2019-12-26,San Francisco,3199
2019-12-27,Chicago,3981
2019-12-27,NYC,31808
2019-12-27,San Francisco,3654
2019-12-28,Chicago,2768
2019-12-28,NYC,28520
2019-12-28,San Francisco,3091
2019-12-29,Chicago,3902
2019-12-29,NYC,17968
2019-12-29,San Francisco,1432
2019-12-30,Chicago,3308
2019-12-30,NYC,12138
2019-12-30,San Francisco,4452
2019-12-31,Chicago,2189
2019-12-31,NYC,31510
2019-12-31,San Francisco,4338
2020-01-01,Chicago,2141
2020-01-01,NYC,18114
2020-01-01,San Francisco,3140
2020-01-02,Chicago,6479
2020-01-02,NYC,41556
2020-01-02,San Francisco,6184
2020-01-03,Chicago,5890
2020-01-03,NYC,31873
2020-01-03,San Francisco,6462
2020-01-04,Chicago,3187
2020-01-04,NYC,29436
2020-01-04,San Francisco,4399
2020-01-05,Chicago,3035
2020-01-05,NYC,27589
2020-01-05,San Francisco,4257
2020-01-06,Chicago,7073
2020-01-06,NYC,42738
2020-01-06,San Francisco,8482
2020-01-07,Chicago,7297
2020-01-07,NYC,46535
2020-01-07,San Francisco,8871
2020-01-08,Chicago,5449
2020-01-08,NYC,42400
2020-01-08,San Francisco,9247
2020-01-09,Chicago,6804
2020-01-09,NYC,39344
2020-01-09,San Francisco,9194
2020-01-10,Chicago,5697
2020-01-10,NYC,50800
2020-01-10,San Francisco,9140
2020-01-11,Chicago,965
2020-01-11,NYC,56538
2020-01-11,San Francisco,5583
2020-01-12,Chicago,1766
2020-01-12,NYC,53121
2020-01-12,San Francisco,5199
2020-01-13,Chicago,6155
2020-01-13,NYC,49438
2020-01-13,San Francisco,9217
2020-01-14,Chicago,7067
2020-01-14,NYC,44144
2020-01-14,San Francisco,10390
2020-01-15,Chicago,6933
2020-01-15,NYC,54251
2020-01-15,San Francisco,10824
2020-01-16,Chicago,5495
2020-01-16,NYC,45247
2020-01-16,San Francisco,6083
2020-01-17,Chicago,3858
2020-01-17,NYC,34122
2020-01-17,San Francisco,10634
2020-01-18,Chicago,1076
2020-01-18,NYC,13301
2020-01-18,San Francisco,7791
2020-01-19,Chicago,895
2020-01-19,NYC,25935
2020-01-19,San Francisco,6720
2020-01-20,Chicago,2932
2020-01-20,NYC,24230
2020-01-20,San Francisco,7913
2020-01-21,Chicago,5187
2020-01-21,NYC,37399
2020-01-21,San Francisco,9299
2020-01-22,Chicago,5514
2020-01-22,NYC,43415
2020-01-22,San Francisco,13729
2020-01-23,Chicago,3613
2020-01-23,NYC,48258
2020-01-23,San Francisco,13813
2020-01-24,Chicago,3657
2020-01-24,NYC,51334
2020-01-24,San Francisco,14239
2020-01-25,Chicago,1728
2020-01-25,NYC,17734
2020-01-25,San Francisco,10723
2020-01-26,Chicago,2542
2020-01-26,NYC,36121
2020-01-26,San Francisco,9246
2020-01-27,Chicago,6314
2020-01-27,NYC,46534
2020-01-27,San Francisco,14078
2020-01-28,Chicago,6676
2020-01-28,NYC,48816
2020-01-28,San Francisco,13407
2020-01-29,Chicago,6455
2020-01-29,NYC,47386
2020-01-29,San Francisco,15797
2020-01-30,Chicago,6576
2020-01-30,NYC,45603
2020-01-30,San Francisco,16010
2020-01-31,Chicago,5428
2020-01-31,NYC,47284
2020-01-31,San Francisco,15783
